Date,US_GDP
2009-08-02,16326.281
2009-08-03,16326.281
2009-08-04,16326.281
2009-08-05,16326.281
2009-08-06,16326.281
2009-08-07,16326.281
2009-08-08,16326.281
2009-08-09,16326.281
2009-08-10,16326.281
2009-08-11,16326.281
2009-08-12,16326.281
2009-08-13,16326.281
2009-08-14,16326.281
2009-08-15,16326.281
2009-08-16,16326.281
2009-08-17,16326.281
2009-08-18,16326.281
2009-08-19,16326.281
2009-08-20,16326.281
2009-08-21,16326.281
2009-08-22,16326.281
2009-08-23,16326.281
2009-08-24,16326.281
2009-08-25,16326.281
2009-08-26,16326.281
2009-08-27,16326.281
2009-08-28,16326.281
2009-08-29,16326.281
2009-08-30,16326.281
2009-08-31,16326.281
2009-09-01,16326.281
2009-09-02,16326.281
2009-09-03,16326.281
2009-09-04,16326.281
2009-09-05,16326.281
2009-09-06,16326.281
2009-09-07,16326.281
2009-09-08,16326.281
2009-09-09,16326.281
2009-09-10,16326.281
2009-09-11,16326.281
2009-09-12,16326.281
2009-09-13,16326.281
2009-09-14,16326.281
2009-09-15,16326.281
2009-09-16,16326.281
2009-09-17,16326.281
2009-09-18,16326.281
2009-09-19,16326.281
2009-09-20,16326.281
2009-09-21,16326.281
2009-09-22,16326.281
2009-09-23,16326.281
2009-09-24,16326.281
2009-09-25,16326.281
2009-09-26,16326.281
2009-09-27,16326.281
2009-09-28,16326.281
2009-09-29,16326.281
2009-09-30,16326.281
2009-10-01,16502.754
2009-10-02,16502.754
2009-10-03,16502.754
2009-10-04,16502.754
2009-10-05,16502.754
2009-10-06,16502.754
2009-10-07,16502.754
2009-10-08,16502.754
2009-10-09,16502.754
2009-10-10,16502.754
2009-10-11,16502.754
2009-10-12,16502.754
2009-10-13,16502.754
2009-10-14,16502.754
2009-10-15,16502.754
2009-10-16,16502.754
2009-10-17,16502.754
2009-10-18,16502.754
2009-10-19,16502.754
2009-10-20,16502.754
2009-10-21,16502.754
2009-10-22,16502.754
2009-10-23,16502.754
2009-10-24,16502.754
2009-10-25,16502.754
2009-10-26,16502.754
2009-10-27,16502.754
2009-10-28,16502.754
2009-10-29,16502.754
2009-10-30,16502.754
2009-10-31,16502.754
2009-11-01,16502.754
2009-11-02,16502.754
2009-11-03,16502.754
2009-11-04,16502.754
2009-11-05,16502.754
2009-11-06,16502.754
2009-11-07,16502.754
2009-11-08,16502.754
2009-11-09,16502.754
2009-11-10,16502.754
2009-11-11,16502.754
2009-11-12,16502.754
2009-11-13,16502.754
2009-11-14,16502.754
2009-11-15,16502.754
2009-11-16,16502.754
2009-11-17,16502.754
2009-11-18,16502.754
2009-11-19,16502.754
2009-11-20,16502.754
2009-11-21,16502.754
2009-11-22,16502.754
2009-11-23,16502.754
2009-11-24,16502.754
2009-11-25,16502.754
2009-11-26,16502.754
2009-11-27,16502.754
2009-11-28,16502.754
2009-11-29,16502.754
2009-11-30,16502.754
2009-12-01,16502.754
2009-12-02,16502.754
2009-12-03,16502.754
2009-12-04,16502.754
2009-12-05,16502.754
2009-12-06,16502.754
2009-12-07,16502.754
2009-12-08,16502.754
2009-12-09,16502.754
2009-12-10,16502.754
2009-12-11,16502.754
2009-12-12,16502.754
2009-12-13,16502.754
2009-12-14,16502.754
2009-12-15,16502.754
2009-12-16,16502.754
2009-12-17,16502.754
2009-12-18,16502.754
2009-12-19,16502.754
2009-12-20,16502.754
2009-12-21,16502.754
2009-12-22,16502.754
2009-12-23,16502.754
