Date,Actual_Buying_Level,XGBoost_Predicted_Level,Random_Walk_Level
2020-10-06,5.699800000000001,5.626823,5.5339
2020-10-07,5.699800000000001,5.6269307,5.5339
2020-10-08,5.7003,5.627061,5.5339
2020-10-09,5.7003,5.627178,5.5339
2020-10-12,5.7003,5.6273074,5.5339
2020-10-13,5.7008,5.627559,5.5339
2020-10-14,5.7007,5.627676,5.5339
2020-10-15,5.7007,5.627806,5.5339
2020-10-16,5.7027,5.628497,5.5339
2020-10-19,5.7027,5.62842,5.5339
2020-10-20,5.7037,5.6295905,5.5339
2020-10-21,5.7037,5.630236,5.5339
2020-10-22,5.704700000000001,5.6306596,5.5339
2020-10-23,5.704700000000001,5.631003,5.5339
2020-10-26,5.7046,5.6312213,5.5339
2020-10-27,5.7061,5.631854,5.5339
2020-10-28,5.7061,5.6319866,5.5339
2020-10-29,5.7071,5.6325626,5.5339
2020-10-30,5.7071,5.633035,5.5339
2020-11-02,5.7081,5.633458,5.5339
2020-11-03,5.7081,5.6338024,5.5339
2020-11-04,5.708,5.6340213,5.5339
2020-11-05,5.708,5.634273,5.5339
2020-11-06,5.707800000000001,5.634339,5.5339
2020-11-09,5.7081,5.634447,5.5339
2020-11-10,5.708300000000001,5.6345644,5.5339
2020-11-11,5.708300000000001,5.6346817,5.5339
2020-11-12,5.708799999999999,5.634933,5.5339
2020-11-13,5.708799999999999,5.6350503,5.5339
2020-11-16,5.7091,5.635271,5.5339
2020-11-17,5.709,5.6353884,5.5339
2020-11-18,5.709599999999999,5.6356087,5.5339
2020-11-19,5.709599999999999,5.635816,5.5339
2020-11-20,5.7101,5.636029,5.5339
2020-11-23,5.7101,5.636208,5.5339
2020-11-24,5.710000000000001,5.636339,5.5339
2020-11-25,5.710000000000001,5.6364684,5.5339
2020-11-26,5.710000000000001,5.6365347,5.5339
2020-11-27,5.7105,5.636664,5.5339
2020-11-30,5.710999999999999,5.6369033,5.5339
2020-12-01,5.711500000000001,5.637258,5.5339
2020-12-02,5.711500000000001,5.637613,5.5339
2020-12-03,5.7113,5.6378336,5.5339
2020-12-04,5.7113,5.63794,5.5339
2020-12-08,5.7113,5.638006,5.5339
2020-12-09,5.7113,5.638071,5.5339
2020-12-10,5.7116,5.6382017,5.5339
2020-12-11,5.7116,5.638318,5.5339
2020-12-14,5.7126,5.638687,5.5339
2020-12-15,5.713100000000001,5.638918,5.5339
2020-12-16,5.713100000000001,5.6391573,5.5339
2020-12-17,5.713599999999999,5.639555,5.5339
2020-12-18,5.7166,5.640951,5.5339
2020-12-21,5.7162999999999995,5.6415424,5.5339
2020-12-22,5.7173,5.6425924,5.5339
2020-12-23,5.7183,5.643318,5.5339
2020-12-24,5.7293,5.650398,5.5339
2020-12-29,5.7293,5.650349,5.5339
2020-12-30,5.7313,5.6522155,5.5339
2020-12-31,5.7573,5.673061,5.5339
2021-01-04,5.7573,5.675956,5.5339
2021-01-05,5.7578,5.6796813,5.5339
2021-01-06,5.7578,5.6822777,5.5339
2021-01-08,5.7576,5.68306,5.5339
2021-01-11,5.7576,5.6836367,5.5339
2021-01-12,5.757399999999999,5.68426,5.5339
2021-01-13,5.757399999999999,5.6848817,5.5339
2021-01-14,5.7576,5.684991,5.5339
2021-01-15,5.7576,5.6850877,5.5339
2021-01-18,5.757399999999999,5.6851964,5.5339
2021-01-19,5.757399999999999,5.685306,5.5339
2021-01-20,5.757900000000001,5.685437,5.5339
2021-01-21,5.7589,5.685796,5.5339
2021-01-22,5.7589,5.6860285,5.5339
2021-01-25,5.7587,5.6862836,5.5339
2021-01-26,5.7587,5.6864457,5.5339
2021-01-27,5.7585,5.6864862,5.5339
2021-01-28,5.7575,5.6863503,5.5339
2021-01-29,5.7575,5.686261,5.5339
2021-02-01,5.757700000000001,5.686274,5.5339
2021-02-02,5.757700000000001,5.686147,5.5339
2021-02-03,5.7576,5.6862564,5.5339
2021-02-04,5.7575,5.686366,5.5339
2021-02-05,5.7576,5.686432,5.5339
2021-02-08,5.757399999999999,5.686498,5.5339
2021-02-09,5.757399999999999,5.686565,5.5339
2021-02-10,5.757199999999999,5.6866307,5.5339
2021-02-11,5.757,5.6865745,5.5339
2021-02-12,5.757,5.686615,5.5339
2021-02-15,5.7568,5.68656,5.5339
2021-02-16,5.7568,5.6866007,5.5339
2021-02-17,5.7567,5.6866665,5.5339
2021-02-18,5.7562,5.686578,5.5339
2021-02-19,5.7557,5.6862974,5.5339
2021-02-22,5.7507,5.6838155,5.5339
2021-02-23,5.7507,5.6839905,5.5339
2021-02-24,5.7505,5.683137,5.5339
2021-02-25,5.749499999999999,5.682799,5.5339
2021-02-26,5.734500000000001,5.67084,5.5339
2021-03-01,5.729500000000001,5.660193,5.5339
2021-03-02,5.7251,5.6521406,5.5339
2021-03-03,5.7251,5.6450872,5.5339
2021-03-04,5.723599999999999,5.6436586,5.5339
2021-03-05,5.723299999999999,5.6435566,5.5339
2021-03-09,5.7238,5.643402,5.5339
2021-03-10,5.723599999999999,5.6431527,5.5339
2021-03-11,5.723599999999999,5.643045,5.5339
2021-03-12,5.723599999999999,5.642958,5.5339
2021-03-15,5.724099999999999,5.643089,5.5339
2021-03-16,5.724099999999999,5.6432056,5.5339
2021-03-17,5.724599999999999,5.643458,5.5339
2021-03-18,5.724599999999999,5.643697,5.5339
2021-03-19,5.724599999999999,5.6438274,5.5339
2021-03-22,5.724399999999999,5.6439576,5.5339
2021-03-23,5.724399999999999,5.644023,5.5339
2021-03-24,5.724399999999999,5.6440883,5.5339
2021-03-25,5.723900000000001,5.644,5.5339
2021-03-26,5.723900000000001,5.643945,5.5339
2021-03-29,5.7259,5.644314,5.5339
2021-03-30,5.7259,5.644213,5.5339
2021-03-31,5.7259,5.6446342,5.5339
2021-04-01,5.7269,5.6453347,5.5339
2021-04-06,5.7267,5.6454425,5.5339
2021-04-07,5.726499999999999,5.6307955,5.5339
2021-04-08,5.726499999999999,5.6418457,5.5339
2021-04-09,5.726499999999999,5.641876,5.5339
2021-04-12,5.726499999999999,5.6419415,5.5339
2021-04-13,5.7275,5.642194,5.5339
2021-04-14,5.7285,5.6425133,5.5339
2021-04-15,5.7285,5.6427183,5.5339
2021-04-16,5.729,5.643207,5.5339
2021-04-19,5.7285,5.6433864,5.5339
2021-04-20,5.7285,5.643495,5.5339
2021-04-21,5.7283,5.643561,5.5339
2021-04-22,5.728,5.6434917,5.5339
2021-04-23,5.728,5.6434364,5.5339
2021-04-26,5.7278,5.643348,5.5339
2021-04-27,5.7288,5.6434784,5.5339
2021-04-28,5.7288,5.6435857,5.5339
2021-04-29,5.7283,5.6436687,5.5339
2021-04-30,5.7293,5.6439776,5.5339
2021-05-04,5.7291,5.6439934,5.5339
2021-05-05,5.7289,5.643987,5.5339
2021-05-06,5.7289,5.644058,5.5339
2021-05-07,5.7287,5.64397,5.5339
2021-05-10,5.7282,5.643882,5.5339
2021-05-11,5.728,5.6437936,5.5339
2021-05-12,5.7278,5.6437054,5.5339
2021-05-14,5.7278,5.6435976,5.5339
2021-05-17,5.7276,5.64347,5.5339
2021-05-18,5.7276,5.643472,5.5339
2021-05-19,5.7276,5.643499,5.5339
2021-05-20,5.7286,5.64372,5.5339
2021-05-21,5.7286,5.643888,5.5339
2021-05-24,5.729599999999999,5.644229,5.5339
2021-05-25,5.731600000000001,5.645444,5.5339
2021-05-26,5.7331,5.6466274,5.5339
2021-05-27,5.7331,5.647628,5.5339
2021-05-28,5.7387,5.6510596,5.5339
2021-05-31,5.744399999999999,5.6545763,5.5339
2021-06-01,5.744300000000001,5.6560946,5.5339
2021-06-02,5.744300000000001,5.6581206,5.5339
2021-06-03,5.7440999999999995,5.6591954,5.5339
2021-06-04,5.7440999999999995,5.6595407,5.5339
2021-06-07,5.7473,5.66101,5.5339
2021-06-08,5.7483,5.662054,5.5339
2021-06-09,5.7483,5.6630187,5.5339
2021-06-10,5.7488,5.663705,5.5339
2021-06-11,5.7486,5.6640863,5.5339
2021-06-14,5.7485,5.6643,5.5339
2021-06-15,5.7485,5.664515,5.5339
2021-06-16,5.7483,5.6645427,5.5339
2021-06-17,5.7483,5.6646085,5.5339
2021-06-18,5.7483,5.6646743,5.5339
2021-06-21,5.7488,5.6648293,5.5339
2021-06-22,5.7503,5.6652746,5.5339
2021-06-23,5.7513,5.6661687,5.5339
2021-06-24,5.7513,5.667129,5.5339
2021-06-25,5.7513,5.667641,5.5339
2021-06-28,5.756900000000001,5.670118,5.5339
2021-06-29,5.7584,5.6715016,5.5339
2021-06-30,5.7597,5.672384,5.5339
2021-07-01,5.7602,5.673706,5.5339
2021-07-02,5.7612000000000005,5.6749086,5.5339
2021-07-05,5.7612000000000005,5.67555,5.5339
2021-07-06,5.7611,5.675912,5.5339
2021-07-07,5.7621,5.6763296,5.5339
2021-07-08,5.7651,5.6775346,5.5339
2021-07-09,5.7773,5.6864834,5.5339
2021-07-12,5.7771,5.6866584,5.5339
2021-07-13,5.7781,5.6883636,5.5339
2021-07-14,5.7781,5.6895113,5.5339
2021-07-15,5.7791,5.690057,5.5339
2021-07-16,5.7936,5.701326,5.5339
2021-07-19,5.7934,5.703219,5.5339
2021-07-21,5.7936,5.7057347,5.5339
2021-07-22,5.7934,5.706662,5.5339
2021-07-23,5.7974,5.708277,5.5339
2021-07-26,5.7974,5.709063,5.5339
2021-07-27,5.7974,5.7094803,5.5339
2021-07-28,5.7972,5.7101107,5.5339
2021-07-29,5.7982,5.7104187,5.5339
2021-07-30,5.7982,5.710612,5.5339
2021-08-02,5.7992,5.7109513,5.5339
2021-08-03,5.7997,5.7115088,5.5339
2021-08-05,5.799499999999999,5.711775,5.5339
2021-08-06,5.817400000000001,5.7244377,5.5339
2021-08-09,5.817400000000001,5.7257586,5.5339
2021-08-10,5.817400000000001,5.7269416,5.5339
2021-08-11,5.8172,5.7265897,5.5339
2021-08-12,5.8191999999999995,5.727191,5.5339
2021-08-13,5.8191999999999995,5.727347,5.5339
2021-08-16,5.8202,5.7284083,5.5339
2021-08-17,5.8232,5.7303634,5.5339
2021-08-18,5.8232,5.7311506,5.5339
2021-08-19,5.824200000000001,5.7323503,5.5339
2021-08-20,5.8307,5.7355165,5.5339
2021-08-23,5.8307,5.7363877,5.5339
2021-08-24,5.8307,5.737195,5.5339
2021-08-25,5.8306,5.737761,5.5339
2021-08-26,5.8306,5.737937,5.5339
2021-08-27,5.847300000000001,5.7504177,5.5339
2021-08-30,5.847300000000001,5.750306,5.5339
2021-08-31,5.848799999999999,5.7523313,5.5339
2021-09-01,5.848300000000001,5.7520866,5.5339
2021-09-02,5.8485,5.7525725,5.5339
2021-09-03,5.8535,5.7552576,5.5339
2021-09-06,5.8535,5.75596,5.5339
2021-09-07,5.8535,5.7560477,5.5339
2021-09-08,5.8533,5.756521,5.5339
2021-09-09,5.8532,5.7566733,5.5339
2021-09-10,5.8532,5.756825,5.5339
2021-09-13,5.8532,5.756976,5.5339
2021-09-14,5.8538,5.7571945,5.5339
2021-09-15,5.8543,5.7574387,5.5339
2021-09-16,5.8545,5.7578006,5.5339
2021-09-17,5.8601,5.7614603,5.5339
2021-09-20,5.8601,5.7621536,5.5339
2021-09-22,5.8599,5.7627196,5.5339
2021-09-23,5.859400000000001,5.7631927,5.5339
2021-09-24,5.861399999999999,5.763678,5.5339
2021-09-27,5.861399999999999,5.7635994,5.5339
2021-09-28,5.862399999999999,5.764356,5.5339
2021-09-29,5.862399999999999,5.765042,5.5339
2021-09-30,5.8634,5.7654757,5.5339
2021-10-01,5.8634,5.765827,5.5339
2021-10-04,5.8644,5.76626,5.5339
2021-10-05,5.8644,5.766664,5.5339
2021-10-06,5.864899999999999,5.767007,5.5339
2021-10-07,5.864899999999999,5.767362,5.5339
2021-10-08,5.865899999999999,5.7678227,5.5339
2021-10-11,5.865899999999999,5.7681446,5.5339
2021-10-12,5.866900000000001,5.7685785,5.5339
2021-10-13,5.8773,5.7750435,5.5339
2021-10-14,5.8773,5.774995,5.5339
2021-10-15,5.8793,5.776728,5.5339
2021-10-18,5.8793,5.77686,5.5339
2021-10-19,5.8797999999999995,5.777794,5.5339
2021-10-20,5.880799999999999,5.7788606,5.5339
2021-10-21,5.881800000000001,5.7796917,5.5339
2021-10-22,5.892,5.7862844,5.5339
2021-10-25,5.8971,5.788413,5.5339
2021-10-26,5.897,5.7898407,5.5339
2021-10-27,5.897,5.790418,5.5339
2021-10-28,5.8974,5.791332,5.5339
2021-10-29,5.8979,5.7917995,5.5339
2021-11-01,5.8979,5.79245,5.5339
2021-11-02,5.8982,5.7930555,5.5339
2021-11-03,5.8982,5.7932615,5.5339
2021-11-04,5.8987,5.7933955,5.5339
2021-11-05,5.8985,5.7935057,5.5339
2021-11-08,5.8993,5.7937646,5.5339
2021-11-09,5.8993,5.7940097,5.5339
2021-11-10,5.8995,5.7941356,5.5339
2021-11-11,5.8995,5.79432,5.5339
2021-11-12,5.9001,5.794453,5.5339
2021-11-15,5.9007,5.7948174,5.5339
2021-11-16,5.9012,5.7951837,5.5339
2021-11-17,5.9083,5.798995,5.5339
2021-11-18,5.9083,5.799403,5.5339
2021-11-19,5.9083,5.800274,5.5339
2021-11-22,5.9083,5.8009872,5.5339
2021-11-23,5.908800000000001,5.8012314,5.5339
2021-11-24,5.9087,5.8014617,5.5339
2021-11-25,5.9092,5.801799,5.5339
2021-11-26,5.9112,5.80266,5.5339
2021-11-29,5.9122,5.8033595,5.5339
2021-11-30,5.9142,5.805102,5.5339
2021-12-01,5.9152,5.8061976,5.5339
2021-12-02,5.9152,5.8073077,5.5339
2021-12-06,5.917200000000001,5.808608,5.5339
2021-12-07,5.917200000000001,5.809258,5.5339
2021-12-08,5.918199999999999,5.810491,5.5339
2021-12-09,5.918199999999999,5.811157,5.5339
2021-12-10,5.9284,5.817936,5.5339
2021-12-13,5.928600000000001,5.818057,5.5339
2021-12-14,5.9301,5.8202376,5.5339
2021-12-15,5.9361,5.823317,5.5339
2021-12-16,5.9361,5.824417,5.5339
2021-12-17,5.951,5.8362656,5.5339
2021-12-20,5.9508,5.8387833,5.5339
2021-12-21,5.9533000000000005,5.84166,5.5339
2021-12-22,5.9543,5.8433633,5.5339
2021-12-23,5.9594,5.846865,5.5339
2021-12-24,5.9744,5.8582172,5.5339
2021-12-29,5.9779,5.8616924,5.5339
2021-12-30,5.9931,5.87536,5.5339
2021-12-31,6.0031,5.8831763,5.5339
2022-01-04,6.0031,5.8863335,5.5339
2022-01-05,6.0029,5.8888702,5.5339
2022-01-06,6.0034,5.8907557,5.5339
2022-01-10,6.0034,5.8916483,5.5339
2022-01-11,6.0034,5.892354,5.5339
2022-01-12,6.0032,5.8925138,5.5339
2022-01-13,6.0032,5.892694,5.5339
2022-01-14,6.0033,5.892763,5.5339
2022-01-17,6.0033,5.8928313,5.5339
2022-01-18,6.005300000000001,5.8933096,5.5339
2022-01-19,6.0071,5.894061,5.5339
